Team,Score
BAL,20
GB,29
PIT,18
ARI,28
TEN,17
NE,16
HOU,29
JAX,17
CAR,10
MIN,28
LV,10
DEN,20
DAL,33
WSH,20
LAR,20
NYJ,19
KC,27
PHI,34
ATL,10
BUF,34
CHI,24
CIN,10
IND,27
MIA,20
NO,47
NYG,6
LAC,22
SEA,26
CLE,17
TB,37
DET,26
SF,32
BUF,31
NO,44
TB,20
IND,10
NYJ,24
SF,17
SEA,23
NYG,18
LAC,26
CLE,18
LV,26
LAR,10
PIT,13
CIN,25
CHI,13
ATL,22
MIA,10
DAL,19
DET,16
GB,16
TEN,17
MIN,23
NE,20
WSH,21
CAR,3
JAX,13
BAL,23
ARI,41
DEN,6
KC,26
HOU,19
PHI,21
NE,3
NYG,21
GB,30
CHI,16
HOU,7
PHI,15
LAC,10
DEN,26
CAR,36
MIA,3
BAL,28
SF,24
DET,20
KC,22
JAX,10
WSH,38
NYJ,24
CLE,15
TEN,14
IND,21
MIN,34
NO,12
PIT,20
TB,7
LV,22
SEA,24
DAL,25
LAR,27
ARI,13
ATL,17
BUF,47
CIN,33
DAL,20
NO,24
LAR,18
MIN,31
PIT,24
DEN,10
PHI,16
CIN,34
JAX,20
WSH,42
NE,13
CLE,16
KC,17
BUF,10
TEN,31
SEA,29
NYG,15
ATL,26
CHI,24
GB,29
IND,27
NYJ,9
TB,33
CAR,24
HOU,24
ARI,14
SF,30
LV,20
LAC,10
BAL,35
MIA,12
DET,42
TB,30
NYJ,17
CAR,10
BAL,41
MIA,15
CLE,13
IND,34
BUF,20
LV,18
ARI,24
GB,24
NYG,29
DAL,20
NO,13
ATL,36
MIN,23
CHI,36
CIN,38
NE,10
WSH,34
JAX,37
HOU,23
DEN,34
SF,23
LAR,19
SEA,20
PIT,17
KC,26
SF,36
JAX,16
ARI,13
IND,20
HOU,41
TB,51
CLE,16
WSH,23
LAC,23
PIT,32
DET,47
ATL,38
CIN,17
BUF,23
SEA,24
CHI,35
GB,34
TEN,17
NE,21
NO,27
PHI,20
BAL,30
DEN,16
LV,13
DAL,9
CAR,20
NYG,7
NYJ,20
DEN,33
NE,16
SEA,34
TEN,10
CIN,21
HOU,22
MIA,10
DET,31
PHI,28
LV,15
CAR,7
KC,28
NYJ,15
BAL,41
LAC,15
NO,10
JAX,32
ATL,14
BUF,34
CLE,14
GB,24
IND,16
MIN,29
NYG,3
LAR,20
WSH,40
SF,18
PIT,37
TB,31
ARI,17
MIN,20
PHI,37
BAL,24
TEN,14
ARI,28
NYJ,22
ATL,31
GB,30
IND,20
NO,8
BUF,31
CAR,14
KC,27
CHI,15
DAL,24
NYG,18
LAR,30
CIN,17
CLE,29
DET,52
MIA,27
NE,25
TB,26
JAX,27
HOU,23
LAC,26
SEA,10
DEN,28
LV,20
WSH,18
SF,30
PIT,26
HOU,13
DAL,21
MIA,27
LV,24
LAC,27
NE,17
WSH,27
NO,22
DEN,10
JAX,23
CHI,9
DET,24
LAR,26
IND,13
TB,24
NYJ,21
ATL,27
BUF,30
CIN,41
CLE,10
TEN,20
NYG,22
CAR,23
BAL,41
PHI,28
ARI,29
GB,14
SEA,20
MIN,21
KC,30
